feature_id,Reviewed,Entry.Name,Protein.names,Gene.Names,Organism,Length
P52657,reviewed,T2AG_HUMAN,Transcription initiation factor IIA subunit 2 (General transcription factor IIA subunit 2) (TFIIA p12 subunit) (TFIIA-12) (TFIIAS) (Transcription initiation factor IIA gamma chain) (TFIIA-gamma),GTF2A2 TF2A2,Homo sapiens (Human),109
Q96TC7,reviewed,RMD3_HUMAN,Regulator of microtubule dynamics protein 3 (RMD-3) (hRMD-3) (Cerebral protein 10) (Protein FAM82A2) (Protein FAM82C) (Protein tyrosine phosphatase-interacting protein 51) (TCPTP-interacting protein 51),RMDN3 FAM82A2 FAM82C PTPIP51 hucep-10 UNQ3122/PRO10274,Homo sapiens (Human),470
P01116,reviewed,RASK_HUMAN,"GTPase KRas (EC 3.6.5.2) (K-Ras 2) (Ki-Ras) (c-K-ras) (c-Ki-ras) [Cleaved into: GTPase KRas, N-terminally processed]",KRAS KRAS2 RASK2,Homo sapiens (Human),189
Q9Y487,reviewed,VPP2_HUMAN,V-type proton ATPase 116 kDa subunit a 2 (V-ATPase 116 kDa subunit a 2) (Lysosomal H(+)-transporting ATPase V0 subunit a 2) (TJ6) (Vacuolar proton translocating ATPase 116 kDa subunit a isoform 2),ATP6V0A2,Homo sapiens (Human),856
P0C0L5,reviewed,CO4B_HUMAN,Complement C4-B (Basic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 3) [Cleaved into: Complement C4 beta chain; Complement C4-B alpha chain; C4a anaphylatoxin; Complement C4b-B; C4d-B; Complement C4 gamma chain],C4B CO4 CPAMD3; C4B_2,Homo sapiens (Human),1744
Q8TBP6,reviewed,S2540_HUMAN,Mitochondrial glutathione transporter SLC25A40 (Mitochondrial carrier family protein) (Solute carrier family 25 member 40),SLC25A40 MCFP,Homo sapiens (Human),338
Q9BTZ2,reviewed,DHRS4_HUMAN,Dehydrogenase/reductase SDR family member 4 (EC 1.1.1.184) (NADPH-dependent carbonyl reductase) (CR) (NADPH-dependent retinol dehydrogenase/reductase) (NRDR) (humNRDR) (Peroxisomal short-chain alcohol dehydrogenase) (PSCD) (SCAD-SRL) (Short chain dehydrogenase/reductase family 25C member 2) (Protein SDR25C2) (Short-chain dehydrogenase/reductase family member 4),DHRS4 SDR25C2 UNQ851/PRO1800,Homo sapiens (Human),278
Q86XT9,reviewed,TM219_HUMAN,Insulin-like growth factor-binding protein 3 receptor (IGFBP-3R) (Transmembrane protein 219),TMEM219,Homo sapiens (Human),240
O76080,reviewed,ZFAN5_HUMAN,AN1-type zinc finger protein 5 (Zinc finger A20 domain-containing protein 2) (Zinc finger protein 216),ZFAND5 ZA20D2 ZNF216,Homo sapiens (Human),213
O76062,reviewed,ERG24_HUMAN,Delta(14)-sterol reductase TM7SF2 (Delta-14-SR) (EC 1.3.1.70) (3-beta-hydroxysterol Delta (14)-reductase) (Another new gene 1 protein) (C-14 sterol reductase) (C14SR) (Putative sterol reductase SR-1) (Sterol C14-reductase) (Transmembrane 7 superfamily member 2),TM7SF2 ANG1,Homo sapiens (Human),418
O75832,reviewed,PSD10_HUMAN,26S proteasome non-ATPase regulatory subunit 10 (26S proteasome regulatory subunit p28) (Gankyrin) (p28(GANK)),PSMD10,Homo sapiens (Human),226
P32189,reviewed,GLPK_HUMAN,Glycerol kinase (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase),GK,Homo sapiens (Human),559
Q92643,reviewed,GPI8_HUMAN,"GPI-anchor transamidase (EC 2.6.1.-) (GPI-anchor transamidase component PIGK, catalytic subunit) (GPI8 homolog) (hGPI8) (Phosphatidylinositol-glycan biosynthesis class K protein) (PIG-K)",PIGK GPI8,Homo sapiens (Human),395
P20936,reviewed,RASA1_HUMAN,Ras GTPase-activating protein 1 (GAP) (GTPase-activating protein) (RasGAP) (Ras p21 protein activator) (p120GAP),RASA1 GAP RASA,Homo sapiens (Human),1047
Q9NRX1,reviewed,PNO1_HUMAN,RNA-binding protein PNO1 (Partner of NOB1),PNO1,Homo sapiens (Human),252
Q9H267,reviewed,VP33B_HUMAN,Vacuolar protein sorting-associated protein 33B (hVPS33B),VPS33B,Homo sapiens (Human),617
Q9Y4F5,reviewed,C170B_HUMAN,Centrosomal protein of 170 kDa protein B (Centrosomal protein 170B) (Cep170B),CEP170B FAM68C KIAA0284,Homo sapiens (Human),1589
P01308,reviewed,INS_HUMAN,Insulin [Cleaved into: Insulin B chain; Insulin A chain],INS,Homo sapiens (Human),110
Q99590,reviewed,SCAFB_HUMAN,"Protein SCAF11 (CTD-associated SR protein 11) (Renal carcinoma antigen NY-REN-40) (SC35-interacting protein 1) (SR-related and CTD-associated factor 11) (SRSF2-interacting protein) (Serine/arginine-rich splicing factor 2-interacting protein) (Splicing factor, arginine/serine-rich 2-interacting protein) (Splicing regulatory protein 129) (SRrp129)",SCAF11 CASP11 SFRS2IP SIP1 SRSF2IP,Homo sapiens (Human),1463
Q9H4G0,reviewed,E41L1_HUMAN,Band 4.1-like protein 1 (Erythrocyte membrane protein band 4.1-like 1) (Neuronal protein 4.1) (4.1N),EPB41L1 KIAA0338,Homo sapiens (Human),881
P36542,reviewed,ATPG_HUMAN,"ATP synthase F(1) complex subunit gamma, mitochondrial (ATP synthase F1 subunit gamma) (F-ATPase gamma subunit)",ATP5F1C ATP5C ATP5C1 ATP5CL1,Homo sapiens (Human),298
P01112,reviewed,RASH_HUMAN,"GTPase HRas (EC 3.6.5.2) (H-Ras-1) (Ha-Ras) (Transforming protein p21) (c-H-ras) (p21ras) [Cleaved into: GTPase HRas, N-terminally processed]",HRAS HRAS1,Homo sapiens (Human),189
O15355,reviewed,PPM1G_HUMAN,Protein phosphatase 1G (EC 3.1.3.16) (Protein phosphatase 1C) (Protein phosphatase 2C isoform gamma) (PP2C-gamma) (Protein phosphatase magnesium-dependent 1 gamma),PPM1G PPM1C,Homo sapiens (Human),546
P10301,reviewed,RRAS_HUMAN,Ras-related protein R-Ras (EC 3.6.5.2) (p23),RRAS,Homo sapiens (Human),218
Q9BZL1,reviewed,UBL5_HUMAN,Ubiquitin-like protein 5,UBL5,Homo sapiens (Human),73
Q7Z5L9,reviewed,I2BP2_HUMAN,Interferon regulatory factor 2-binding protein 2 (IRF-2-binding protein 2) (IRF-2BP2),IRF2BP2,Homo sapiens (Human),587
Q8IXJ6,reviewed,SIR2_HUMAN,NAD-dependent protein deacetylase sirtuin-2 (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-2) (EC 2.3.1.-) (NAD-dependent protein defatty-acylase sirtuin-2) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2),SIRT2 SIR2L SIR2L2,Homo sapiens (Human),389
Q02750,reviewed,MP2K1_HUMAN,Dual specificity mitogen-activated protein kinase kinase 1 (MAP kinase kinase 1) (MAPKK 1) (MKK1) (EC 2.7.12.2) (ERK activator kinase 1) (MAPK/ERK kinase 1) (MEK 1),MAP2K1 MEK1 PRKMK1,Homo sapiens (Human),393
Q93077,reviewed,H2A1C_HUMAN,Histone H2A type 1-C (H2A-clustered histone 6) (Histone H2A/l),H2AC6 H2AFL HIST1H2AC,Homo sapiens (Human),130
Q13017,reviewed,RHG05_HUMAN,Rho GTPase-activating protein 5 (Rho-type GTPase-activating protein 5) (p190-B),ARHGAP5 RHOGAP5,Homo sapiens (Human),1502
A0A0B4J2D5,,GAL3B_HUMAN,deleted,,,NA
Q96I24,reviewed,FUBP3_HUMAN,Far upstream element-binding protein 3 (FUSE-binding protein 3),FUBP3 FBP3,Homo sapiens (Human),572
P30419,reviewed,NMT1_HUMAN,Glycylpeptide N-tetradecanoyltransferase 1 (EC 2.3.1.97) (Myristoyl-CoA:protein N-myristoyltransferase 1) (HsNMT1) (NMT 1) (Type I N-myristoyltransferase) (Peptide N-myristoyltransferase 1) (Protein-lysine myristoyltransferase NMT1) (EC 2.3.1.-),NMT1 NMT,Homo sapiens (Human),496
O43602,reviewed,DCX_HUMAN,Neuronal migration protein doublecortin (Doublin) (Lissencephalin-X) (Lis-X),DCX DBCN LISX,Homo sapiens (Human),365
P62979,reviewed,RS27A_HUMAN,Ubiquitin-ribosomal protein eS31 fusion protein (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; Small ribosomal subunit protein eS31 (40S ribosomal protein S27a)],RPS27A UBA80 UBCEP1,Homo sapiens (Human),156
O75175,reviewed,CNOT3_HUMAN,CCR4-NOT transcription complex subunit 3 (CCR4-associated factor 3) (Leukocyte receptor cluster member 2),CNOT3 KIAA0691 LENG2 NOT3,Homo sapiens (Human),753
Q9UP83,reviewed,COG5_HUMAN,Conserved oligomeric Golgi complex subunit 5 (COG complex subunit 5) (13S Golgi transport complex 90 kDa subunit) (GTC-90) (Component of oligomeric Golgi complex 5) (Golgi transport complex 1),COG5 GOLTC1 GTC90,Homo sapiens (Human),860
O94916,reviewed,NFAT5_HUMAN,Nuclear factor of activated T-cells 5 (NF-AT5) (T-cell transcription factor NFAT5) (Tonicity-responsive enhancer-binding protein) (TonE-binding protein) (TonEBP),NFAT5 KIAA0827 TONEBP,Homo sapiens (Human),1531
P10398,reviewed,ARAF_HUMAN,Serine/threonine-protein kinase A-Raf (EC 2.7.11.1) (Proto-oncogene A-Raf) (Proto-oncogene A-Raf-1) (Proto-oncogene Pks),ARAF ARAF1 PKS PKS2,Homo sapiens (Human),606
P51668,reviewed,UB2D1_HUMAN,Ubiquitin-conjugating enzyme E2 D1 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D1) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D1) (Stimulator of Fe transport) (SFT) (UBC4/5 homolog) (UbcH5) (Ubiquitin carrier protein D1) (Ubiquitin-conjugating enzyme E2(17)KB 1) (Ubiquitin-conjugating enzyme E2-17 kDa 1) (Ubiquitin-protein ligase D1),UBE2D1 SFT UBC5A UBCH5 UBCH5A,Homo sapiens (Human),147
P22234,reviewed,PUR6_HUMAN,Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase (PAICS) [Includes: Phosphoribosylaminoimidazole carboxylase (EC 4.1.1.21) (AIR carboxylase) (AIRC); Phosphoribosylaminoimidazole succinocarboxamide synthetase (EC 6.3.2.6) (SAICAR synthetase)],PAICS ADE2 AIRC PAIS,Homo sapiens (Human),425
P05026,reviewed,AT1B1_HUMAN,Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1),ATP1B1 ATP1B,Homo sapiens (Human),303
O14545,reviewed,TRAD1_HUMAN,TRAF-type zinc finger domain-containing protein 1 (Protein FLN29),TRAFD1 FLN29,Homo sapiens (Human),582
Q00613,reviewed,HSF1_HUMAN,Heat shock factor protein 1 (HSF 1) (Heat shock transcription factor 1) (HSTF 1),HSF1 HSTF1,Homo sapiens (Human),529
Q96HC4,reviewed,PDLI5_HUMAN,PDZ and LIM domain protein 5 (Enigma homolog) (Enigma-like PDZ and LIM domains protein),PDLIM5 ENH L9,Homo sapiens (Human),596
Q01101,reviewed,INSM1_HUMAN,Insulinoma-associated protein 1 (Zinc finger protein IA-1),INSM1 IA1,Homo sapiens (Human),510
P35244,reviewed,RFA3_HUMAN,Replication protein A 14 kDa subunit (RP-A p14) (Replication factor A protein 3) (RF-A protein 3),RPA3 REPA3 RPA14,Homo sapiens (Human),121
Q9UPP1,reviewed,PHF8_HUMAN,Histone lysine demethylase PHF8 (EC 1.14.11.-) (EC 1.14.11.65) (Lysine demethylase 7B) (PHD finger protein 8) ([histone H3]-dimethyl-L-lysine(36) demethylase PHF8) ([histone H3]-dimethyl-L-lysine(9) demethylase PHF8),PHF8 KDM7B KIAA1111 ZNF422,Homo sapiens (Human),1060
Q96GD0,reviewed,PLPP_HUMAN,Chronophin (EC 3.1.3.16) (EC 3.1.3.74) (Pyridoxal phosphate phosphatase) (PLP phosphatase),PDXP CIN PLP PLPP,Homo sapiens (Human),296
O15047,reviewed,SET1A_HUMAN,Histone-lysine N-methyltransferase SETD1A (EC 2.1.1.364) (Lysine N-methyltransferase 2F) (SET domain-containing protein 1A) (hSET1A) (Set1/Ash2 histone methyltransferase complex subunit SET1),SETD1A KIAA0339 KMT2F SET1 SET1A,Homo sapiens (Human),1707
P09958,reviewed,FURIN_HUMAN,Furin (EC 3.4.21.75) (Dibasic-processing enzyme) (Paired basic amino acid residue-cleaving enzyme) (PACE),FURIN FUR PACE PCSK3,Homo sapiens (Human),794
O95298,reviewed,NDUC2_HUMAN,NADH dehydrogenase [ubiquinone] 1 subunit C2 (Complex I-B14.5b) (CI-B14.5b) (Human lung cancer oncogene 1 protein) (HLC-1) (NADH-ubiquinone oxidoreductase subunit B14.5b),NDUFC2 HLC1,Homo sapiens (Human),119
P35269,reviewed,T2FA_HUMAN,General transcription factor IIF subunit 1 (General transcription factor IIF 74 kDa subunit) (Transcription initiation factor IIF subunit alpha) (TFIIF-alpha) (Transcription initiation factor RAP74),GTF2F1 RAP74,Homo sapiens (Human),517
P00414,reviewed,COX3_HUMAN,Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III),MT-CO3 COIII COXIII MTCO3,Homo sapiens (Human),261
Q96MG7,reviewed,NSE3_HUMAN,Non-structural maintenance of chromosomes element 3 homolog (Non-SMC element 3 homolog) (Hepatocellular carcinoma-associated protein 4) (MAGE-G1 antigen) (Melanoma-associated antigen G1) (Necdin-like protein 2),NSMCE3 HCA4 MAGEG1 NDNL2,Homo sapiens (Human),304
O14936,reviewed,CSKP_HUMAN,Peripheral plasma membrane protein CASK (hCASK) (EC 2.7.11.1) (Calcium/calmodulin-dependent serine protein kinase) (Protein lin-2 homolog),CASK LIN2,Homo sapiens (Human),926
Q08378,reviewed,GOGA3_HUMAN,Golgin subfamily A member 3 (Golgi complex-associated protein of 170 kDa) (GCP170) (Golgin-160),GOLGA3,Homo sapiens (Human),1498
Q70IA6,reviewed,MOB2_HUMAN,MOB kinase activator 2 (HCCA2) (Mob2 homolog) (Mps one binder kinase activator-like 2),MOB2 HCCA2,Homo sapiens (Human),237
P48739,reviewed,PIPNB_HUMAN,Phosphatidylinositol transfer protein beta isoform (PI-TP-beta) (PtdIns transfer protein beta) (PtdInsTP beta),PITPNB,Homo sapiens (Human),271
Q96C23,reviewed,GALM_HUMAN,Galactose mutarotase (EC 5.1.3.3) (Aldose 1-epimerase),GALM BLOCK25,Homo sapiens (Human),342
Q9Y237,reviewed,PIN4_HUMAN,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 (EC 5.2.1.8) (Parvulin-14) (Par14) (hPar14) (Parvulin-17) (Par17) (hPar17) (Peptidyl-prolyl cis-trans isomerase Pin4) (PPIase Pin4) (Peptidyl-prolyl cis/trans isomerase EPVH) (hEPVH) (Rotamase Pin4),PIN4,Homo sapiens (Human),131
O75534,reviewed,CSDE1_HUMAN,Cold shock domain-containing protein E1 (N-ras upstream gene protein) (Protein UNR),CSDE1 D1S155E KIAA0885 NRU UNR,Homo sapiens (Human),798
Q9Y5W7,reviewed,SNX14_HUMAN,Sorting nexin-14,SNX14,Homo sapiens (Human),946
Q9UBB6,reviewed,NCDN_HUMAN,Neurochondrin,NCDN KIAA0607,Homo sapiens (Human),729
Q9UL25,reviewed,RAB21_HUMAN,Ras-related protein Rab-21 (EC 3.6.5.2),RAB21 KIAA0118,Homo sapiens (Human),225
Q6ZW49,reviewed,PAXI1_HUMAN,PAX-interacting protein 1 (PAX transactivation activation domain-interacting protein),PAXIP1 PAXIP1L PTIP CAGF28,Homo sapiens (Human),1069
Q9H425,reviewed,CA198_HUMAN,Uncharacterized protein C1orf198,C1orf198,Homo sapiens (Human),327
P51153,reviewed,RAB13_HUMAN,Ras-related protein Rab-13 (EC 3.6.5.2) (Cell growth-inhibiting gene 4 protein),RAB13 GIG4,Homo sapiens (Human),203
Q9UQR1,reviewed,ZN148_HUMAN,Zinc finger protein 148 (Transcription factor ZBP-89) (Zinc finger DNA-binding protein 89),ZNF148 ZBP89,Homo sapiens (Human),794
P18206,reviewed,VINC_HUMAN,Vinculin (Metavinculin) (MV),VCL,Homo sapiens (Human),1134
Q92629,reviewed,SGCD_HUMAN,Delta-sarcoglycan (Delta-SG) (35 kDa dystrophin-associated glycoprotein) (35DAG),SGCD,Homo sapiens (Human),289
Q9C0J8,reviewed,WDR33_HUMAN,pre-mRNA 3' end processing protein WDR33 (WD repeat-containing protein 33) (WD repeat-containing protein of 146 kDa),WDR33 WDC146,Homo sapiens (Human),1336
Q92599,reviewed,SEPT8_HUMAN,Septin-8,SEPTIN8 KIAA0202 SEPT8,Homo sapiens (Human),483
Q9BWJ5,reviewed,SF3B5_HUMAN,Splicing factor 3B subunit 5 (SF3b5) (Pre-mRNA-splicing factor SF3b 10 kDa subunit),SF3B5 SF3B10,Homo sapiens (Human),86
Q7LBC6,reviewed,KDM3B_HUMAN,Lysine-specific demethylase 3B (EC 1.14.11.65) (JmjC domain-containing histone demethylation protein 2B) (Jumonji domain-containing protein 1B) (Nuclear protein 5qNCA) ([histone H3]-dimethyl-L-lysine(9) demethylase 3B),KDM3B C5orf7 JHDM2B JMJD1B KIAA1082,Homo sapiens (Human),1761
O75822,reviewed,EIF3J_HUMAN,Eukaryotic translation initiation factor 3 subunit J (eIF3j) (Eukaryotic translation initiation factor 3 subunit 1) (eIF-3-alpha) (eIF3 p35),EIF3J EIF3S1 PRO0391,Homo sapiens (Human),258
O60725,reviewed,ICMT_HUMAN,Protein-S-isoprenylcysteine O-methyltransferase (EC 2.1.1.100) (Isoprenylcysteine carboxylmethyltransferase) (Prenylated protein carboxyl methyltransferase) (PPMT) (Prenylcysteine carboxyl methyltransferase) (pcCMT),ICMT PCCMT,Homo sapiens (Human),284
Q9UKX7,reviewed,NUP50_HUMAN,Nuclear pore complex protein Nup50 (50 kDa nucleoporin) (Nuclear pore-associated protein 60 kDa-like) (Nucleoporin Nup50),NUP50 NPAP60L PRO1146,Homo sapiens (Human),468
P13489,reviewed,RINI_HUMAN,Ribonuclease inhibitor (Placental ribonuclease inhibitor) (Placental RNase inhibitor) (Ribonuclease/angiogenin inhibitor 1) (RAI),RNH1 PRI RNH,Homo sapiens (Human),461
Q8WXG6,reviewed,MADD_HUMAN,MAP kinase-activating death domain protein (Differentially expressed in normal and neoplastic cells) (Insulinoma glucagonoma clone 20) (Rab3 GDP/GTP exchange factor) (RabGEF) (Rab3 GDP/GTP exchange protein) (Rab3GEP),MADD DENN IG20 KIAA0358,Homo sapiens (Human),1647
Q9BVT8,reviewed,TMUB1_HUMAN,Transmembrane and ubiquitin-like domain-containing protein 1 (Dendritic cell-derived ubiquitin-like protein) (DULP) (Hepatocyte odd protein shuttling protein) (Ubiquitin-like protein SB144) [Cleaved into: iHOPS],TMUB1 C7orf21 DULP HOPS SB144 UNQ763/PRO1555,Homo sapiens (Human),246
P28070,reviewed,PSB4_HUMAN,Proteasome subunit beta type-4 (26 kDa prosomal protein) (HsBPROS26) (PROS-26) (Macropain beta chain) (Multicatalytic endopeptidase complex beta chain) (Proteasome beta chain) (Proteasome chain 3) (HsN3) (Proteasome subunit beta-7) (beta-7),PSMB4 PROS26,Homo sapiens (Human),264
P26358,reviewed,DNMT1_HUMAN,DNA (cytosine-5)-methyltransferase 1 (Dnmt1) (EC 2.1.1.37) (CXXC-type zinc finger protein 9) (DNA methyltransferase HsaI) (DNA MTase HsaI) (M.HsaI) (MCMT),DNMT1 AIM CXXC9 DNMT,Homo sapiens (Human),1616
Q92506,reviewed,DHB8_HUMAN,(3R)-3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.n12) (17-beta-hydroxysteroid dehydrogenase 8) (17-beta-HSD 8) (HSD17B8) (3-ketoacyl-[acyl-carrier-protein] reductase alpha subunit) (KAR alpha subunit) (3-oxoacyl-[acyl-carrier-protein] reductase) (Estradiol 17-beta-dehydrogenase 8) (EC 1.1.1.62) (Protein Ke6) (Ke6) (Short chain dehydrogenase/reductase family 30C member 1) (Testosterone 17-beta-dehydrogenase 8) (EC 1.1.1.239),HSD17B8 FABGL HKE6 RING2 SDR30C1,Homo sapiens (Human),261
O95630,reviewed,STABP_HUMAN,STAM-binding protein (EC 3.4.19.-) (Associated molecule with the SH3 domain of STAM) (Endosome-associated ubiquitin isopeptidase),STAMBP AMSH,Homo sapiens (Human),424
O00391,reviewed,QSOX1_HUMAN,Sulfhydryl oxidase 1 (hQSOX) (EC 1.8.3.2) (Quiescin Q6),QSOX1 QSCN6 UNQ2520/PRO6013,Homo sapiens (Human),747
P62857,reviewed,RS28_HUMAN,Small ribosomal subunit protein eS28 (40S ribosomal protein S28),RPS28,Homo sapiens (Human),69
Q9Y6D9,reviewed,MD1L1_HUMAN,Mitotic spindle assembly checkpoint protein MAD1 (Mitotic arrest deficient 1-like protein 1) (MAD1-like protein 1) (Mitotic checkpoint MAD1 protein homolog) (HsMAD1) (hMAD1) (Tax-binding protein 181),MAD1L1 MAD1 TXBP181,Homo sapiens (Human),718
Q5VT52,reviewed,RPRD2_HUMAN,Regulation of nuclear pre-mRNA domain-containing protein 2,RPRD2 KIAA0460 HSPC099,Homo sapiens (Human),1461
Q07021,reviewed,C1QBP_HUMAN,"Complement component 1 Q subcomponent-binding protein, mitochondrial (ASF/SF2-associated protein p32) (Glycoprotein gC1qBP) (C1qBP) (Hyaluronan-binding protein 1) (Mitochondrial matrix protein p32) (gC1q-R protein) (p33) (SF2AP32)",C1QBP GC1QBP HABP1 SF2P32,Homo sapiens (Human),282
P18077,reviewed,RL35A_HUMAN,Large ribosomal subunit protein eL33 (60S ribosomal protein L35a) (Cell growth-inhibiting gene 33 protein),RPL35A GIG33,Homo sapiens (Human),110
Q96PU4,reviewed,UHRF2_HUMAN,E3 ubiquitin-protein ligase UHRF2 (EC 2.3.2.27) (Np95/ICBP90-like RING finger protein) (Np95-like RING finger protein) (Nuclear protein 97) (Nuclear zinc finger protein Np97) (RING finger protein 107) (RING-type E3 ubiquitin transferase UHRF2) (Ubiquitin-like PHD and RING finger domain-containing protein 2) (Ubiquitin-like-containing PHD and RING finger domains protein 2),UHRF2 NIRF RNF107,Homo sapiens (Human),802
Q9Y4K4,reviewed,M4K5_HUMAN,Mitogen-activated protein kinase kinase kinase kinase 5 (EC 2.7.11.1) (Kinase homologous to SPS1/STE20) (KHS) (MAPK/ERK kinase kinase kinase 5) (MEK kinase kinase 5) (MEKKK 5),MAP4K5,Homo sapiens (Human),846
P13796,reviewed,PLSL_HUMAN,Plastin-2 (L-plastin) (LC64P) (Lymphocyte cytosolic protein 1) (LCP-1),LCP1 PLS2,Homo sapiens (Human),627
P07954,reviewed,FUMH_HUMAN,"Fumarate hydratase, mitochondrial (Fumarase) (HsFH) (EC 4.2.1.2)",FH,Homo sapiens (Human),510
P78330,reviewed,SERB_HUMAN,Phosphoserine phosphatase (PSP) (PSPase) (EC 3.1.3.3) (L-3-phosphoserine phosphatase) (O-phosphoserine phosphohydrolase),PSPH,Homo sapiens (Human),225
Q9Y6N5,reviewed,SQOR_HUMAN,"Sulfide:quinone oxidoreductase, mitochondrial (SQOR) (EC 1.8.5.8) (Sulfide dehydrogenase-like) (Sulfide quinone oxidoreductase)",SQOR SQRDL CGI-44,Homo sapiens (Human),450
P48444,reviewed,COPD_HUMAN,Coatomer subunit delta (Archain) (Delta-coat protein) (Delta-COP),ARCN1 COPD,Homo sapiens (Human),511
Q9NVA1,reviewed,UQCC1_HUMAN,Ubiquinol-cytochrome c reductase complex assembly factor 1 (Basic FGF-repressed Zic-binding protein) (bFGF-repressed Zic-binding protein) (bFZb) (Ubiquinol-cytochrome c reductase complex chaperone CBP3 homolog),UQCC1 BZFB C20orf44 UQCC,Homo sapiens (Human),299
Q92581,reviewed,SL9A6_HUMAN,Sodium/hydrogen exchanger 6 (Na(+)/H(+) exchanger 6) (NHE-6) (Solute carrier family 9 member 6),SLC9A6 KIAA0267 NHE6,Homo sapiens (Human),701
Q9NX24,reviewed,NHP2_HUMAN,H/ACA ribonucleoprotein complex subunit 2 (Nucleolar protein family A member 2) (snoRNP protein NHP2),NHP2 NOLA2 HSPC286,Homo sapiens (Human),153
Q7KZN9,reviewed,COX15_HUMAN,Heme A synthase COX15 (HAS) (EC 1.17.99.9) (Cytochrome c oxidase assembly protein COX15 homolog),COX15,Homo sapiens (Human),410
Q9NTJ5,reviewed,SAC1_HUMAN,Phosphatidylinositol-3-phosphatase SAC1 (EC 3.1.3.64) (Phosphatidylinositol-4-phosphate phosphatase) (Suppressor of actin mutations 1-like protein),SACM1L KIAA0851 SAC1,Homo sapiens (Human),587
O95628,reviewed,CNOT4_HUMAN,CCR4-NOT transcription complex subunit 4 (EC 2.3.2.27) (CCR4-associated factor 4) (E3 ubiquitin-protein ligase CNOT4) (Potential transcriptional repressor NOT4Hp) (RING-type E3 ubiquitin transferase CNOT4),CNOT4 NOT4,Homo sapiens (Human),575
P49915,reviewed,GUAA_HUMAN,GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase),GMPS,Homo sapiens (Human),693
Q8IWE5,reviewed,PKHM2_HUMAN,Pleckstrin homology domain-containing family M member 2 (PH domain-containing family M member 2) (Salmonella-induced filaments A and kinesin-interacting protein) (SifA and kinesin-interacting protein),PLEKHM2 KIAA0842 SKIP,Homo sapiens (Human),1019
Q9P2C4,reviewed,TM181_HUMAN,Transmembrane protein 181,TMEM181 GPR178 KIAA1423,Homo sapiens (Human),475
Q96AN5,reviewed,TM143_HUMAN,Transmembrane protein 143,TMEM143 UNQ5922/PRO19813,Homo sapiens (Human),459
Q99755,reviewed,PI51A_HUMAN,Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha (PIP5K1-alpha) (PtdIns(4)P-5-kinase 1 alpha) (EC 2.7.1.68) (68 kDa type I phosphatidylinositol 4-phosphate 5-kinase alpha) (Phosphatidylinositol 4-phosphate 5-kinase type I alpha) (PIP5KIalpha),PIP5K1A,Homo sapiens (Human),562
Q8NI08,reviewed,NCOA7_HUMAN,Nuclear receptor coactivator 7 (140 kDa estrogen receptor-associated protein) (Estrogen nuclear receptor coactivator 1),NCOA7 ERAP140 ESNA1 Nbla00052 Nbla10993,Homo sapiens (Human),942
Q96DV4,reviewed,RM38_HUMAN,"Large ribosomal subunit protein mL38 (39S ribosomal protein L38, mitochondrial) (L38mt) (MRP-L38)",MRPL38 HSPC262,Homo sapiens (Human),380
Q9UI10,reviewed,EI2BD_HUMAN,Translation initiation factor eIF2B subunit delta (eIF2B GDP-GTP exchange factor subunit delta),EIF2B4 EIF2BD,Homo sapiens (Human),523
P51689,reviewed,ARSD_HUMAN,Arylsulfatase D (ASD) (EC 3.1.6.-),ARSD,Homo sapiens (Human),593
Q9NRS6,reviewed,SNX15_HUMAN,Sorting nexin-15,SNX15,Homo sapiens (Human),342
Q8WX93,reviewed,PALLD_HUMAN,Palladin (SIH002) (Sarcoma antigen NY-SAR-77),PALLD KIAA0992 CGI-151,Homo sapiens (Human),1383
Q9NVG8,reviewed,TBC13_HUMAN,TBC1 domain family member 13,TBC1D13,Homo sapiens (Human),400
Q03111,reviewed,ENL_HUMAN,Protein ENL (Eleven-nineteen-leukeumia) (YEATS domain-containing protein 1),MLLT1 ENL LTG19 YEATS1,Homo sapiens (Human),559
Q8IX01,reviewed,SUGP2_HUMAN,"SURP and G-patch domain-containing protein 2 (Arginine/serine-rich-splicing factor 14) (Splicing factor, arginine/serine-rich 14)",SUGP2 KIAA0365 SFRS14,Homo sapiens (Human),1082
